id,employeeId,employeeName,date,checkIn,checkOut,totalHours,status,note
16,16,Nguyen Thi P,02/12/2025,08:30,17:00,7.50,PRESENT,
17,17,Tran Van Q,02/12/2025,08:00,18:30,9.50,PRESENT,
18,18,Le Thi R,02/12/2025,08:10,17:40,8.50,PRESENT,
19,19,Pham Van S,02/12/2025,08:25,17:25,8.00,PRESENT,
20,20,Hoang Thi T,02/12/2025,08:15,17:35,8.33,PRESENT,
1,1,Nguyen Van A,03/12/2025,08:10,17:20,8.17,LEAVE,Nghỉ phép
2,2,Tran Thi B,03/12/2025,08:05,17:15,8.17,PRESENT,
3,3,Le Van C,03/12/2025,08:00,18:00,9.00,PRESENT,
4,4,Pham Thi D,03/12/2025,08:30,17:45,8.25,PRESENT,
5,5,Hoang Van E,03/12/2025,08:20,17:40,8.33,PRESENT,
6,6,Nguyen Thi F,03/12/2025,08:15,17:15,8.00,PRESENT,
7,7,Tran Van G,03/12/2025,08:05,17:45,8.67,PRESENT,
8,8,Le Thi H,03/12/2025,08:25,17:25,8.00,PRESENT,
9,9,Pham Van I,03/12/2025,08:00,18:15,9.25,PRESENT,
10,10,Hoang Thi J,03/12/2025,08:25,17:35,8.17,PRESENT,
11,11,Nguyen Van K,03/12/2025,08:40,17:20,7.67,PRESENT,
12,12,Tran Thi L,03/12/2025,08:20,17:10,7.83,PRESENT,
13,13,Le Van M,03/12/2025,08:10,17:50,8.67,PRESENT,
14,14,Pham Thi N,03/12/2025,08:50,17:15,7.42,PRESENT,
15,15,Hoang Van O,03/12/2025,08:20,17:30,8.17,PRESENT,
16,16,Nguyen Thi P,03/12/2025,08:30,17:00,7.50,PRESENT,
17,17,Tran Van Q,03/12/2025,08:00,18:30,9.50,PRESENT,
18,18,Le Thi R,03/12/2025,08:10,17:40,8.50,PRESENT,
19,19,Pham Van S,03/12/2025,08:25,17:25,8.00,PRESENT,
20,20,Hoang Thi T,03/12/2025,08:15,17:35,8.33,PRESENT,
1,1,Nguyen Van A,04/12/2025,08:15,17:30,8.25,PRESENT,
2,2,Tran Thi B,04/12/2025,08:05,17:15,8.17,PRESENT,
3,3,Le Van C,04/12/2025,08:00,18:00,9.00,PRESENT,
4,4,Pham Thi D,04/12/2025,08:30,17:45,8.25,PRESENT,
5,5,Hoang Van E,04/12/2025,08:20,17:40,8.33,PRESENT,
6,6,Nguyen Thi F,04/12/2025,08:15,17:15,8.00,PRESENT,
7,7,Tran Van G,04/12/2025,08:05,17:45,8.67,PRESENT,
8,8,Le Thi H,04/12/2025,08:25,17:25,8.00,PRESENT,
9,9,Pham Van I,04/12/2025,08:00,18:15,9.25,PRESENT,
10,10,Hoang Thi J,04/12/2025,08:25,17:35,8.17,PRESENT,
11,11,Nguyen Van K,04/12/2025,08:40,17:20,7.67,PRESENT,
12,12,Tran Thi L,04/12/2025,08:20,17:10,7.83,PRESENT,
13,13,Le Van M,04/12/2025,08:10,17:50,8.67,PRESENT,
14,14,Pham Thi N,04/12/2025,08:50,17:15,7.42,PRESENT,
15,15,Hoang Van O,04/12/2025,08:20,17:30,8.17,PRESENT,
16,16,Nguyen Thi P,04/12/2025,08:30,17:00,7.50,PRESENT,
17,17,Tran Van Q,04/12/2025,08:00,18:30,9.50,PRESENT,
18,18,Le Thi R,04/12/2025,08:10,17:40,8.50,PRESENT,
19,19,Pham Van S,04/12/2025,08:25,17:25,8.00,PRESENT,
20,20,Hoang Thi T,04/12/2025,08:15,17:35,8.33,PRESENT,
1,1,Nguyen Van A,05/12/2025,08:15,17:30,8.25,PRESENT,
2,2,Tran Thi B,05/12/2025,08:05,17:15,8.17,PRESENT,
3,3,Le Van C,05/12/2025,08:00,18:00,9.00,PRESENT,
4,4,Pham Thi D,05/12/2025,08:30,17:45,8.25,PRESENT,
5,5,Hoang Van E,05/12/2025,08:20,17:40,8.33,PRESENT,
6,6,Nguyen Thi F,05/12/2025,08:15,17:15,8.00,PRESENT,
7,7,Tran Van G,05/12/2025,08:05,17:45,8.67,PRESENT,
8,8,Le Thi H,05/12/2025,08:25,17:25,8.00,PRESENT,
9,9,Pham Van I,05/12/2025,08:00,18:15,9.25,PRESENT,
10,10,Hoang Thi J,05/12/2025,08:25,17:35,8.17,PRESENT,
11,11,Nguyen Van K,05/12/2025,08:40,17:20,7.67,PRESENT,
12,12,Tran Thi L,05/12/2025,08:20,17:10,7.83,PRESENT,
13,13,Le Van M,05/12/2025,08:10,17:50,8.67,PRESENT,
14,14,Pham Thi N,05/12/2025,08:50,17:15,7.42,PRESENT,
15,15,Hoang Van O,05/12/2025,08:20,17:30,8.17,PRESENT,
16,16,Nguyen Thi P,05/12/2025,08:30,17:00,7.50,PRESENT,
17,17,Tran Van Q,05/12/2025,08:00,18:30,9.50,PRESENT,
18,18,Le Thi R,05/12/2025,08:10,17:40,8.50,PRESENT,
19,19,Pham Van S,05/12/2025,08:25,17:25,8.00,PRESENT,
20,20,Hoang Thi T,05/12/2025,08:15,17:35,8.33,PRESENT
